,Name,Photo,Birds,Bees,Butterflies,Hedgehogs,Squirrels
53,cheal-treurkers-prunus-serrulata-kiku-shidare-zakura/,"[""https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/product/images/Cheal's-treurkers-Prunus-serrulata-'Kiku-shidare-zakura'.jpeg""]",Ja,Ja,Ja,,Ja
54,Chinese-Hazelaar-corylus-chinensis,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/product/images/chinese-hazelaar.jpg']",Ja,,,,
55,Chinese-jeneverbes-Juniperus-chinensis-Blaauw,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_3347_src.jpg']",Ja,,,,
56,Chrysant-Dendranthema-Clara-Curtis,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_1435_src.jpg']",,Ja,Ja,,
57,Cipressenkruid-Santolina-chamaecyparissus-var-lindavica,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_2546_src.jpg']",,Ja,Ja,,
58,Cipressenkruid-Santolina-chamaecyparissus-var-nana,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_591_src.jpg']",,Ja,Ja,,
59,Cipressenkruid-Santolina-rosmarinifolia,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_3368_src.jpg']",,Ja,Ja,,
60,Citroentijm-Thymus-x-citriodorus-Bertram-Anderson,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_2100_src.jpg']",,Ja,,,
61,Citroentijm-Thymus-x-citriodorus-Villa-Nova,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_3844_src.jpg']",,Ja,Ja,,
62,Daglelie-Hemerocallis-Almatine,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_487_src.jpg']",,Ja,Ja,,
63,Daglelie-Hemerocallis-Anzac,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_728_src.jpg']",,Ja,Ja,,
64,Daglelie-Hemerocallis-Autumn-Red,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_759_src.jpg']",,Ja,Ja,,
65,daglelie-hemerocallis-chloe-s-child/,"['https://cdn.zilvercms.nl/330x221,fit,q80/http://yarinde.zilvercdn.nl/uploads/photo/product_843_src.jpg']",,Ja,Ja,,
